Date,Tournament,Category,Round,Prize,Result
06/05/2019,World Championships,WC,Final,"œ200,000",winner 
07/04/2019,China Open,R,Last 64,"œ5,000",loss
10/03/2019,Players Championship,R,Quarter Final,"œ15,000",loss
03/03/2019,Indian Open,R,Semi Final,"œ15,000",loss
17/02/2019,Welsh Open,R,Quarter Final,"œ10,000",loss
10/02/2019,World Grand Prix,R,Last 32,"œ5,000",winner 
03/02/2019,German Masters,R,Last 32,"œ4,000",winner 
20/01/2019,Masters,U,Last 16,"œ12,500",loss
16/12/2018,Scottish Open,R,Last 16,"œ6,000",loss
09/12/2018,UK Championship,UK,Last 64,"œ5,000",winner 
18/11/2018,Northern Ireland Open,R,Last 128,Unknown,winner 
11/11/2018,Champion of Champions,U,Quarter Final,"œ17,500",loss
04/11/2018,International Championship,R,Last 128,Unknown,loss
21/10/2018,English Open,R,Last 16,"œ6,000",winner 
30/09/2018,China Championship,R,Final,"œ75,000",winner 
16/09/2018,Shanghai Masters,U,Last 16,"œ15,000",winner 
07/05/2018,World Championships,WC,Final,"œ180,000",loss
08/04/2018,China Open,R,Last 32,"œ6,500",loss
25/03/2018,Players Championship,R,Last 16,"œ10,000",winner 
18/03/2018,Romanian Masters,U,Quarter Final,Unknown,winner 
04/03/2018,Welsh Open,R,Winner,"œ70,000",winner 
25/02/2018,World Grand Prix,R,Last 16,"œ7,500",winner 
21/01/2018,Masters,U,Semi Final,"œ50,000",loss
17/12/2017,Scottish Open,R,Semi Final,"œ20,000",loss
10/12/2017,UK Championship,UK,Last 16,"œ15,000",loss
26/11/2017,Northern Ireland Open,R,Last 32,"œ3,500",winner 
18/11/2017,Shanghai Masters,R,Semi Final,"œ32,000",loss
12/11/2017,Champion of Champions,U,Quarter Final,"œ17,500",loss
05/11/2017,International Championship,R,Quarter Final,"œ18,000",loss
22/10/2017,English Open,R,Last 16,"œ6,000",winner 
08/10/2017,European Masters,R,Last 32,"œ4,000",winner 
24/09/2017,World Open,R,Last 16,"œ12,000",winner 
16/09/2017,Indian Open,R,Winner,"œ50,000",winner 
22/08/2017,China Championship,R,Last 32,"œ7,000",winner 
23/07/2017,Hong Kong Masters,U,Quarter Final,"œ22,500",loss
01/05/2017,World Championships,WC,Final,"œ160,000",loss
02/04/2017,China Open,R,Last 16,"œ8,000",loss
12/03/2017,Players Championship,PTF,Last 16,"œ10,000",winner 
05/03/2017,Gibraltar Open,R,Last 64,? 700,winner 
19/02/2017,Welsh Open,R,Last 128,œ0,winner 
12/02/2017,World Grand Prix,R,Last 32,"œ5,000",winner 
05/02/2017,German Masters,R,Last 64,"? 2,000",loss
22/01/2017,Masters,U,Last 16,"œ12,500",loss
18/12/2016,Scottish Open,R,Final,"œ30,000",loss
04/12/2016,UK Championship,UK,Quarter Final,"œ22,500",winner 
20/11/2016,Northern Ireland Open,R,Last 16,"œ6,000",winner 
